In,Out,date,weekday,hour,year,month,dayofyear,weekofyear,holiday
513,389,19,4,20,2013,7,200,29,0
339,371,19,4,21,2013,7,200,29,0
234,223,19,4,22,2013,7,200,29,0
110,140,19,4,23,2013,7,200,29,0
53,79,20,5,0,2013,7,201,29,0
25,26,20,5,1,2013,7,201,29,0
21,35,20,5,2,2013,7,201,29,0
15,15,20,5,3,2013,7,201,29,0
13,22,20,5,4,2013,7,201,29,0
25,34,20,5,5,2013,7,201,29,0
67,95,20,5,6,2013,7,201,29,0
175,281,20,5,7,2013,7,201,29,0
252,476,20,5,8,2013,7,201,29,0
385,745,20,5,9,2013,7,201,29,0
625,893,20,5,10,2013,7,201,29,0
888,888,20,5,11,2013,7,201,29,0
1138,827,20,5,12,2013,7,201,29,0
1072,857,20,5,13,2013,7,201,29,0
1264,865,20,5,14,2013,7,201,29,0
1154,879,20,5,15,2013,7,201,29,0
1165,1103,20,5,16,2013,7,201,29,0
1147,892,20,5,17,2013,7,201,29,0
937,792,20,5,18,2013,7,201,29,0
689,695,20,5,19,2013,7,201,29,0
489,626,20,5,20,2013,7,201,29,0
311,531,20,5,21,2013,7,201,29,0
211,379,20,5,22,2013,7,201,29,0
115,168,20,5,23,2013,7,201,29,0
69,78,21,6,0,2013,7,202,29,0
47,51,21,6,1,2013,7,202,29,0
29,32,21,6,2,2013,7,202,29,0
15,25,21,6,3,2013,7,202,29,0
16,24,21,6,4,2013,7,202,29,0
25,39,21,6,5,2013,7,202,29,0
78,82,21,6,6,2013,7,202,29,0
117,243,21,6,7,2013,7,202,29,0
202,492,21,6,8,2013,7,202,29,0
436,732,21,6,9,2013,7,202,29,0
603,964,21,6,10,2013,7,202,29,0
905,1110,21,6,11,2013,7,202,29,0
1031,997,21,6,12,2013,7,202,29,0
985,966,21,6,13,2013,7,202,29,0
983,1009,21,6,14,2013,7,202,29,0
972,1149,21,6,15,2013,7,202,29,0
1001,1026,21,6,16,2013,7,202,29,0
924,866,21,6,17,2013,7,202,29,0
791,721,21,6,18,2013,7,202,29,0
578,613,21,6,19,2013,7,202,29,0
403,511,21,6,20,2013,7,202,29,0
288,410,21,6,21,2013,7,202,29,0
183,200,21,6,22,2013,7,202,29,0
92,112,21,6,23,2013,7,202,29,0
55,35,22,0,0,2013,7,203,30,0
23,26,22,0,1,2013,7,203,30,0
21,23,22,0,2,2013,7,203,30,0
10,23,22,0,3,2013,7,203,30,0
17,20,22,0,4,2013,7,203,30,0
32,73,22,0,5,2013,7,203,30,0
94,141,22,0,6,2013,7,203,30,0
257,323,22,0,7,2013,7,203,30,0
384,510,22,0,8,2013,7,203,30,0
396,688,22,0,9,2013,7,203,30,0
522,727,22,0,10,2013,7,203,30,0
614,749,22,0,11,2013,7,203,30,0
712,676,22,0,12,2013,7,203,30,0
712,651,22,0,13,2013,7,203,30,0
668,625,22,0,14,2013,7,203,30,0
738,688,22,0,15,2013,7,203,30,0
821,707,22,0,16,2013,7,203,30,0
821,702,22,0,17,2013,7,203,30,0
756,534,22,0,18,2013,7,203,30,0
472,397,22,0,19,2013,7,203,30,0
336,331,22,0,20,2013,7,203,30,0
230,278,22,0,21,2013,7,203,30,0
150,175,22,0,22,2013,7,203,30,0
86,81,22,0,23,2013,7,203,30,0
45,39,23,1,0,2013,7,204,30,0
26,14,23,1,1,2013,7,204,30,0
9,12,23,1,2,2013,7,204,30,0
5,13,23,1,3,2013,7,204,30,0
14,18,23,1,4,2013,7,204,30,0
53,61,23,1,5,2013,7,204,30,0
121,163,23,1,6,2013,7,204,30,0
237,267,23,1,7,2013,7,204,30,0
394,486,23,1,8,2013,7,204,30,0
386,633,23,1,9,2013,7,204,30,0
504,777,23,1,10,2013,7,204,30,0
609,727,23,1,11,2013,7,204,30,0
656,658,23,1,12,2013,7,204,30,0
666,633,23,1,13,2013,7,204,30,0
712,642,23,1,14,2013,7,204,30,0
751,703,23,1,15,2013,7,204,30,0
826,728,23,1,16,2013,7,204,30,0
823,669,23,1,17,2013,7,204,30,0
738,490,23,1,18,2013,7,204,30,0
548,413,23,1,19,2013,7,204,30,0
361,347,23,1,20,2013,7,204,30,0
290,400,23,1,21,2013,7,204,30,0
157,207,23,1,22,2013,7,204,30,0
83,93,23,1,23,2013,7,204,30,0
42,28,24,2,0,2013,7,205,30,0
25,19,24,2,1,2013,7,205,30,0
15,11,24,2,2,2013,7,205,30,0
14,15,24,2,3,2013,7,205,30,0
9,17,24,2,4,2013,7,205,30,0
34,52,24,2,5,2013,7,205,30,0
105,144,24,2,6,2013,7,205,30,0
263,332,24,2,7,2013,7,205,30,0
413,475,24,2,8,2013,7,205,30,0
393,723,24,2,9,2013,7,205,30,0
529,790,24,2,10,2013,7,205,30,0
598,749,24,2,11,2013,7,205,30,0
678,638,24,2,12,2013,7,205,30,0
697,599,24,2,13,2013,7,205,30,0
727,652,24,2,14,2013,7,205,30,0
752,706,24,2,15,2013,7,205,30,0
824,774,24,2,16,2013,7,205,30,0
749,626,24,2,17,2013,7,205,30,0
722,601,24,2,18,2013,7,205,30,0
568,379,24,2,19,2013,7,205,30,0
393,366,24,2,20,2013,7,205,30,0
298,292,24,2,21,2013,7,205,30,0
169,203,24,2,22,2013,7,205,30,0
85,119,24,2,23,2013,7,205,30,0
54,44,25,3,0,2013,7,206,30,0
26,21,25,3,1,2013,7,206,30,0
19,16,25,3,2,2013,7,206,30,0
9,18,25,3,3,2013,7,206,30,0
12,18,25,3,4,2013,7,206,30,0
36,55,25,3,5,2013,7,206,30,0
108,158,25,3,6,2013,7,206,30,0
262,272,25,3,7,2013,7,206,30,0
394,561,25,3,8,2013,7,206,30,0
416,721,25,3,9,2013,7,206,30,0
556,834,25,3,10,2013,7,206,30,0
614,781,25,3,11,2013,7,206,30,0
704,677,25,3,12,2013,7,206,30,0
712,683,25,3,13,2013,7,206,30,0
742,672,25,3,14,2013,7,206,30,0
814,679,25,3,15,2013,7,206,30,0
843,730,25,3,16,2013,7,206,30,0
836,694,25,3,17,2013,7,206,30,0
809,552,25,3,18,2013,7,206,30,0
568,409,25,3,19,2013,7,206,30,0
403,342,25,3,20,2013,7,206,30,0
286,309,25,3,21,2013,7,206,30,0
189,245,25,3,22,2013,7,206,30,0
105,103,25,3,23,2013,7,206,30,0
53,33,26,4,0,2013,7,207,30,0
33,22,26,4,1,2013,7,207,30,0
22,23,26,4,2,2013,7,207,30,0
11,21,26,4,3,2013,7,207,30,0
17,21,26,4,4,2013,7,207,30,0
33,68,26,4,5,2013,7,207,30,0
121,150,26,4,6,2013,7,207,30,0
241,343,26,4,7,2013,7,207,30,0
371,520,26,4,8,2013,7,207,30,0
395,767,26,4,9,2013,7,207,30,0
601,830,26,4,10,2013,7,207,30,0
780,871,26,4,11,2013,7,207,30,0
808,742,26,4,12,2013,7,207,30,0
873,766,26,4,13,2013,7,207,30,0
838,810,26,4,14,2013,7,207,30,0
971,890,26,4,15,2013,7,207,30,0
1009,882,26,4,16,2013,7,207,30,0
1029,779,26,4,17,2013,7,207,30,0
905,625,26,4,18,2013,7,207,30,0
771,501,26,4,19,2013,7,207,30,0
537,397,26,4,20,2013,7,207,30,0
394,447,26,4,21,2013,7,207,30,0
254,304,26,4,22,2013,7,207,30,0
123,152,26,4,23,2013,7,207,30,0
70,49,27,5,0,2013,7,208,30,0
29,41,27,5,1,2013,7,208,30,0
21,17,27,5,2,2013,7,208,30,0
14,21,27,5,3,2013,7,208,30,0
22,34,27,5,4,2013,7,208,30,0
33,46,27,5,5,2013,7,208,30,0
73,115,27,5,6,2013,7,208,30,0
115,279,27,5,7,2013,7,208,30,0
220,517,27,5,8,2013,7,208,30,0
432,778,27,5,9,2013,7,208,30,0
627,881,27,5,10,2013,7,208,30,0
945,839,27,5,11,2013,7,208,30,0
1106,793,27,5,12,2013,7,208,30,0
1231,818,27,5,13,2013,7,208,30,0
1097,820,27,5,14,2013,7,208,30,0
1197,928,27,5,15,2013,7,208,30,0
1120,938,27,5,16,2013,7,208,30,0
1031,940,27,5,17,2013,7,208,30,0
943,831,27,5,18,2013,7,208,30,0
711,720,27,5,19,2013,7,208,30,0
461,649,27,5,20,2013,7,208,30,0
301,495,27,5,21,2013,7,208,30,0
172,517,27,5,22,2013,7,208,30,0
111,208,27,5,23,2013,7,208,30,0
64,93,28,6,0,2013,7,209,30,0
36,45,28,6,1,2013,7,209,30,0
23,33,28,6,2,2013,7,209,30,0
22,21,28,6,3,2013,7,209,30,0
14,30,28,6,4,2013,7,209,30,0
17,37,28,6,5,2013,7,209,30,0
56,94,28,6,6,2013,7,209,30,0
114,232,28,6,7,2013,7,209,30,0
